KH001,Hanoi Weekend,T001,101,30,1500000,20/12/2025,22/12/2025
KH002,Da Nang Getaway,T002,102,25,2200000,05/01/2026,08/01/2026
KH003,HoChiMinh Express,T003,103,20,1200000,10/02/2026,12/02/2026
KH004,PhuQuoc Luxury,T004,104,40,4500000,15/03/2026,19/03/2026
KH005,DaLat Retreat,T005,105,18,1800000,01/04/2026,03/04/2026
KH006,Bangkok Fun,T006,106,22,500,12/05/2026,16/05/2026
KH007,Seoul Discovery,T007,107,16,900,20/06/2026,26/06/2026
KH008,Tokyo Explorer,T008,108,12,1200,05/07/2026,11/07/2026
KH009,Phuket Sun,T009,109,28,700,18/08/2026,24/08/2026
KH010,Angkor Temples,T010,110,35,350,02/09/2026,04/09/2026
