KH001,NH01,KS01,PT001,4500000,3600000,600000,45000000
KH002,NH02,KS02,PT002,3750000,3000000,500000,55000000
KH003,NH03,KS03,PT003,3200000,2400000,400000,24000000
KH004,NH04,KS04,PT004,9000000,7200000,1200000,180000000
KH005,NH05,KS05,PT005,1620000,1080000,300000,21600000
KH006,NH06,KS06,PT006,2200000,1760000,300000,11000000
KH007,NH07,KS07,PT007,1440000,1280000,200000,14400000
KH008,NH08,KS08,PT008,2400000,1920000,400000,28800000
KH009,NH09,KS09,PT009,4200000,3360000,600000,19600000
KH010,NH10,KS10,PT010,1050000,750000,200000,12250000
