KS01,Sunrise Hotel,20/12/2025,22/12/2025,1800000.0
KS02,Seaside Resort,05/01/2026,08/01/2026,2000000.0
KS03,City Inn,10/02/2026,12/02/2026,1200000.0
KS04,Island Luxury,15/03/2026,19/03/2026,5000000.0
KS05,Mountain View,01/04/2026,03/04/2026,900000.0
KS06,Bangkok Grand,12/05/2026,16/05/2026,1300000.0
KS07,Seoul Comfort,20/06/2026,26/06/2026,1100000.0
KS08,Tokyo Central,05/07/2026,11/07/2026,2500000.0
KS09,Phuket Beach Resort,18/08/2026,24/08/2026,2000000.0
KS10,Siem Reap Heritage,02/09/2026,04/09/2026,750000.0
